fecha,macrosector_id,macrosector,ise_var_anual,ipc_var_anual,tpm,var_empleo_anual,ipp_var_anual,costo_var,ise_es_real,ise_norm,emp_norm,costo_norm,tpm_norm,icds,estado,estado_nombre,vulnerabilidad
2015-01,M01,Agropecuario,2.9801,3.82,,,,3.82,True,0.5856,,0.6847,,0.6186,S2,Crecimiento,Moderada
2015-02,M01,Agropecuario,2.6462,4.36,,,,4.36,True,0.5315,,0.6396,,0.5675,S3,Estabilidad,Moderada
2015-03,M01,Agropecuario,2.9813,4.56,,,,4.56,True,0.5946,,0.5856,,0.5916,S3,Estabilidad,Moderada
2015-04,M01,Agropecuario,3.2887,4.64,,,,4.64,True,0.6216,,0.5676,,0.6036,S2,Crecimiento,Moderada
2015-05,M01,Agropecuario,2.9136,4.41,,,,4.41,True,0.5676,,0.6306,,0.5886,S3,Estabilidad,Moderada
2015-06,M01,Agropecuario,3.0476,4.42,,,,4.42,True,0.6036,,0.6216,,0.6096,S2,Crecimiento,Moderada
2015-07,M01,Agropecuario,3.4464,4.46,,,,4.46,True,0.6396,,0.6036,,0.6276,S2,Crecimiento,Moderada
2015-08,M01,Agropecuario,4.0314,4.74,,,,4.74,True,0.6757,,0.5586,,0.6367,S2,Crecimiento,Moderada
2015-09,M01,Agropecuario,4.3788,5.35,,,,5.35,True,0.7387,,0.5315,,0.6696,S2,Crecimiento,Moderada
2015-10,M01,Agropecuario,4.263,5.89,,,,5.89,True,0.7027,,0.4955,,0.6336,S2,Crecimiento,Moderada
2015-11,M01,Agropecuario,4.3,6.39,,,,6.39,True,0.7207,,0.4865,,0.6426,S2,Crecimiento,Moderada
2015-12,M01,Agropecuario,4.3,6.77,,,,6.77,True,0.7207,,0.4685,,0.6366,S2,Crecimiento,Moderada
2016-01,M01,Agropecuario,-1.8721,7.45,,-3.2278,18.0676,18.0676,True,0.027,0.1414,0.1802,,0.0967,S5,Contracción,Alta
2016-02,M01,Agropecuario,-0.0289,7.59,6.0,-1.8321,17.9049,17.9049,True,0.1532,0.2424,0.1892,0.718,0.2674,S4,Decrecimiento,Media
2016-03,M01,Agropecuario,0.8593,7.98,6.0,-1.3783,14.7103,14.7103,True,0.2883,0.303,0.2432,0.718,0.3474,S4,Decrecimiento,Media
2016-04,M01,Agropecuario,0.4929,7.93,6.0,5.7789,18.2099,18.2099,True,0.2432,0.8283,0.1712,0.718,0.4463,S3,Estabilidad,Moderada
2016-05,M01,Agropecuario,0.1293,8.2,6.9677,0.3686,23.0505,23.0505,True,0.1892,0.4545,0.1441,0.6634,0.3176,S4,Decrecimiento,Media
2016-06,M01,Agropecuario,0.4499,8.6,7.0,2.9224,24.5214,24.5214,True,0.2342,0.6566,0.1261,0.6543,0.3812,S4,Decrecimiento,Media
2016-07,M01,Agropecuario,-1.4419,8.97,7.0,3.029,24.4392,24.4392,True,0.045,0.6869,0.1351,0.6543,0.3149,S4,Decrecimiento,Media
2016-08,M01,Agropecuario,0.0186,8.1,7.0,6.3994,12.651,12.651,True,0.1712,0.8687,0.3063,0.6543,0.4451,S3,Estabilidad,Moderada
2016-09,M01,Agropecuario,0.7297,7.27,7.0,-3.6934,8.8446,8.8446,True,0.2703,0.1111,0.3964,0.6543,0.3133,S4,Decrecimiento,Media
2016-10,M01,Agropecuario,1.162,6.48,7.0,-2.367,5.8562,5.8562,True,0.3333,0.2323,0.5045,0.6543,0.3904,S4,Decrecimiento,Media
2016-11,M01,Agropecuario,2.2825,5.96,7.0,-1.7686,4.5219,4.5219,True,0.4955,0.2727,0.5946,0.6543,0.4834,S3,Estabilidad,Moderada
2016-12,M01,Agropecuario,2.7367,5.75,7.0,-3.2151,1.0472,1.0472,True,0.5495,0.1515,0.7838,0.6543,0.5126,S3,Estabilidad,Moderada
2017-01,M01,Agropecuario,9.9076,5.47,7.0,5.9211,-0.6868,-0.6868,True,0.991,0.8384,0.8829,0.6543,0.8807,S1,Aceleración,Baja
2017-02,M01,Agropecuario,9.1701,5.18,7.0,0.186,-3.2165,-3.2165,True,0.973,0.4444,0.955,0.6543,0.7894,S2,Crecimiento,Moderada
2017-03,M01,Agropecuario,9.1233,4.69,7.0,8.8086,-2.3024,-2.3024,True,0.964,0.9192,0.9279,0.6543,0.8991,S1,Aceleración,Baja
2017-04,M01,Agropecuario,7.6302,4.66,7.0,2.5921,-3.6309,-3.6309,True,0.9009,0.6364,0.973,0.6543,0.8122,S1,Aceleración,Baja
2017-05,M01,Agropecuario,7.8074,4.37,7.0,11.2617,-6.2575,-6.2575,True,0.9189,0.9798,0.982,0.6543,0.9071,S1,Aceleración,Baja
2017-06,M01,Agropecuario,8.6668,3.99,7.0,2.1393,-7.6784,-7.6784,True,0.955,0.596,0.991,0.6543,0.8273,S1,Aceleración,Baja
2017-07,M01,Agropecuario,9.575,3.4,7.0,7.9785,-8.3229,-8.3229,True,0.982,0.8889,1.0,0.6543,0.9132,S1,Aceleración,Baja
2017-08,M01,Agropecuario,8.4637,3.87,7.0,2.2756,-1.1821,-1.1821,True,0.9459,0.6061,0.8919,0.6543,0.8064,S1,Aceleración,Baja
2017-09,M01,Agropecuario,7.7621,3.97,7.0,9.9304,-1.3344,-1.3344,True,0.9099,0.9495,0.9099,0.6543,0.8815,S1,Aceleración,Baja
2017-10,M01,Agropecuario,7.1286,4.05,6.871,2.9856,-0.3431,-0.3431,True,0.8919,0.6768,0.8739,0.6725,0.8016,S1,Aceleración,Baja
2017-11,M01,Agropecuario,6.2393,4.12,5.0,8.2882,0.3249,0.3249,True,0.8468,0.9091,0.8288,0.9727,0.8777,S1,Aceleración,Baja
2017-12,M01,Agropecuario,5.5763,4.09,5.0,3.8593,0.865,0.865,True,0.8108,0.7374,0.8018,0.9727,0.8149,S1,Aceleración,Baja
2018-01,M01,Agropecuario,2.2653,3.68,5.0,7.9665,-0.0084,-0.0084,True,0.4775,0.8788,0.8468,0.9727,0.726,S2,Crecimiento,Moderada
2018-02,M01,Agropecuario,1.8013,3.37,5.0,3.5732,0.9605,0.9605,True,0.4144,0.7172,0.7928,0.9727,0.6495,S2,Crecimiento,Moderada
2018-03,M01,Agropecuario,2.1582,3.14,5.0,2.3164,1.2839,1.2839,True,0.4685,0.6263,0.7748,0.9727,0.6448,S2,Crecimiento,Moderada
2018-04,M01,Agropecuario,3.3017,3.13,5.0,0.1107,0.3471,0.3471,True,0.6306,0.4343,0.8198,0.9727,0.6707,S2,Crecimiento,Moderada
2018-05,M01,Agropecuario,3.6895,3.16,5.0,-3.1609,0.1958,0.1958,True,0.6577,0.1717,0.8378,0.9727,0.6195,S2,Crecimiento,Moderada
2018-06,M01,Agropecuario,2.4748,3.2,5.0,-0.3096,0.3928,0.3928,True,0.5225,0.3838,0.8108,0.9727,0.613,S2,Crecimiento,Moderada
2018-07,M01,Agropecuario,2.8355,3.12,5.0,-6.4775,-0.3419,-0.3419,True,0.5586,0.0707,0.8649,0.9727,0.56,S3,Estabilidad,Moderada
2018-08,M01,Agropecuario,2.2804,3.1,5.0,3.3243,-0.0684,-0.0684,True,0.4865,0.7071,0.8559,0.9727,0.6885,S2,Crecimiento,Moderada
2018-09,M01,Agropecuario,1.9197,3.23,5.0,-1.773,3.1469,3.1469,True,0.4324,0.2626,0.7207,0.9727,0.5287,S3,Estabilidad,Moderada
2018-10,M01,Agropecuario,1.981,3.33,5.0,1.1308,3.8385,3.8385,True,0.4414,0.5051,0.6757,0.9727,0.5839,S3,Estabilidad,Moderada
2018-11,M01,Agropecuario,1.7863,3.27,5.0,-1.8246,3.4515,3.4515,True,0.4054,0.2525,0.7027,0.9727,0.5117,S3,Estabilidad,Moderada
2018-12,M01,Agropecuario,1.5939,3.18,5.0,4.3037,4.6107,4.6107,True,0.3694,0.7677,0.5766,0.9727,0.6009,S2,Crecimiento,Moderada
2019-01,M01,Agropecuario,1.0944,3.15,5.0,-3.6238,5.7861,5.7861,True,0.3243,0.1212,0.5135,0.9727,0.4086,S3,Estabilidad,Moderada
2019-02,M01,Agropecuario,1.0586,3.01,5.0,-1.5819,4.3526,4.3526,True,0.3153,0.2828,0.6486,0.9727,0.4724,S3,Estabilidad,Moderada
2019-03,M01,Agropecuario,-0.0532,3.21,5.0,-12.2858,4.9871,4.9871,True,0.1351,0.0,0.5495,0.9727,0.3098,S4,Decrecimiento,Media
2019-04,M01,Agropecuario,0.3552,3.25,5.0,-11.7487,7.7624,7.7624,True,0.2162,0.0101,0.4324,0.9727,0.3214,S4,Decrecimiento,Media
2019-05,M01,Agropecuario,1.4677,3.31,5.0,-4.553,9.7298,9.7298,True,0.3604,0.101,0.3784,0.9727,0.391,S4,Decrecimiento,Media
2019-06,M01,Agropecuario,1.3214,3.43,5.0,1.8537,11.4145,11.4145,True,0.3423,0.5556,0.3514,0.9727,0.492,S3,Estabilidad,Moderada
2019-07,M01,Agropecuario,1.6548,3.79,5.0,-3.209,12.7638,12.7638,True,0.3874,0.1616,0.2973,0.9727,0.4007,S3,Estabilidad,Moderada
2019-08,M01,Agropecuario,2.0887,3.75,5.0,-7.7602,12.9029,12.9029,True,0.4505,0.0303,0.2883,0.9727,0.3913,S4,Decrecimiento,Media
2019-09,M01,Agropecuario,2.1415,3.82,5.0,-5.7751,12.9686,12.9686,True,0.4595,0.0909,0.2793,0.9727,0.4083,S3,Estabilidad,Moderada
2019-10,M01,Agropecuario,2.3962,3.86,5.0,-0.3593,12.3166,12.3166,True,0.5045,0.3737,0.3243,0.9727,0.506,S3,Estabilidad,Moderada
2019-11,M01,Agropecuario,2.4481,3.84,5.0,-6.7212,9.2512,9.2512,True,0.5135,0.0505,0.3874,0.9727,0.4414,S3,Estabilidad,Moderada
2019-12,M01,Agropecuario,2.7173,3.8,5.0,-2.8697,6.4529,6.4529,True,0.5405,0.2121,0.4775,0.9727,0.5106,S3,Estabilidad,Moderada
2020-01,M01,Agropecuario,5.9244,3.62,5.0,-5.8505,4.3773,4.3773,True,0.8288,0.0909,0.6306,0.9727,0.6263,S2,Crecimiento,Moderada
2020-02,M01,Agropecuario,6.787,3.72,5.0,-8.1553,7.3013,7.3013,True,0.8919,0.0303,0.4505,0.9727,0.6003,S2,Crecimiento,Moderada
2020-03,M01,Agropecuario,5.3896,3.86,5.0,-2.7003,12.2964,12.2964,True,0.8108,0.2222,0.3243,0.9727,0.5906,S3,Estabilidad,Moderada
2020-04,M01,Agropecuario,4.5236,3.51,5.0,-8.0619,12.3865,12.3865,True,0.7568,0.0303,0.3153,0.9727,0.5193,S3,Estabilidad,Moderada
2020-05,M01,Agropecuario,2.4187,2.85,5.0,-13.862773663097336,10.292,10.292,True,0.5135,0.0,0.3604,0.9727,0.4234,S3,Estabilidad,Moderada
2020-06,M01,Agropecuario,2.1977,2.19,5.0,-13.862773663097336,5.5271,5.5271,True,0.4775,0.0,0.5225,0.9727,0.4414,S3,Estabilidad,Moderada
2020-07,M01,Agropecuario,1.9811,1.97,5.0,-5.2555,4.7087,4.7087,True,0.4505,0.101,0.5586,0.9727,0.4631,S3,Estabilidad,Moderada
2020-08,M01,Agropecuario,1.3525,1.88,5.0,0.9177,4.847,4.847,True,0.3514,0.5051,0.5495,0.9727,0.5226,S3,Estabilidad,Moderada
2020-09,M01,Agropecuario,1.7782,1.97,2.0,-0.6375,4.9624,4.9624,True,0.4054,0.3636,0.5495,1.0,0.513,S3,Estabilidad,Moderada
2020-10,M01,Agropecuario,1.5157,1.75,2.0,-7.1723,4.8631,4.8631,True,0.3694,0.0404,0.5495,1.0,0.4178,S3,Estabilidad,Moderada
2020-11,M01,Agropecuario,1.4356,1.49,2.0,-4.2572,7.48,7.48,True,0.3604,0.1111,0.4414,1.0,0.4102,S3,Estabilidad,Moderada
2020-12,M01,Agropecuario,1.9607,1.61,2.0,-5.3631,9.2871,9.2871,True,0.4414,0.101,0.3784,1.0,0.4275,S3,Estabilidad,Moderada
2021-01,M01,Agropecuario,-0.7926,1.6,2.0,-1.6723,12.6346,12.6346,True,0.0721,0.2828,0.3063,1.0,0.3108,S4,Decrecimiento,Media
2021-02,M01,Agropecuario,-1.2902,1.56,2.0,-9.1987,13.0677,13.0677,True,0.0631,0.0303,0.2703,1.0,0.2369,S4,Decrecimiento,Media
2021-03,M01,Agropecuario,3.8795,1.51,2.0,3.7475,10.4902,10.4902,True,0.6667,0.7273,0.3604,1.0,0.6706,S2,Crecimiento,Moderada
2021-04,M01,Agropecuario,5.786,1.95,2.0,7.5195,11.6135,11.6135,True,0.8288,0.8788,0.3333,1.0,0.7679,S2,Crecimiento,Moderada
2021-05,M01,Agropecuario,4.2811,3.3,2.0,15.86182820855188,20.0885,20.0885,True,0.7117,1.0,0.1532,1.0,0.7153,S2,Crecimiento,Moderada
2021-06,M01,Agropecuario,5.0506,3.63,2.0,-4.0942,19.8437,19.8437,True,0.7928,0.1111,0.1532,1.0,0.5255,S3,Estabilidad,Moderada
2021-07,M01,Agropecuario,4.9097,3.97,2.0,6.8894,21.7436,21.7436,True,0.7658,0.8788,0.1441,1.0,0.7048,S2,Crecimiento,Moderada
2021-08,M01,Agropecuario,4.6176,4.44,2.0,-12.0742,22.6669,22.6669,True,0.7568,0.0101,0.1441,1.0,0.4841,S3,Estabilidad,Moderada
2021-09,M01,Agropecuario,4.5505,4.51,2.0,-8.0836,21.5268,21.5268,True,0.7568,0.0303,0.1441,1.0,0.4891,S3,Estabilidad,Moderada
