fecha,ipc_var_anual
2015-01,3.82
2015-02,4.36
2015-03,4.56
2015-04,4.64
2015-05,4.41
2015-06,4.42
2015-07,4.46
2015-08,4.74
2015-09,5.35
2015-10,5.89
2015-11,6.39
2015-12,6.77
2016-01,7.45
2016-02,7.59
2016-03,7.98
2016-04,7.93
2016-05,8.2
2016-06,8.6
2016-07,8.97
2016-08,8.1
2016-09,7.27
2016-10,6.48
2016-11,5.96
2016-12,5.75
2017-01,5.47
2017-02,5.18
2017-03,4.69
2017-04,4.66
2017-05,4.37
2017-06,3.99
2017-07,3.4
2017-08,3.87
2017-09,3.97
2017-10,4.05
2017-11,4.12
2017-12,4.09
2018-01,3.68
2018-02,3.37
2018-03,3.14
2018-04,3.13
2018-05,3.16
2018-06,3.2
2018-07,3.12
2018-08,3.1
2018-09,3.23
2018-10,3.33
2018-11,3.27
2018-12,3.18
2019-01,3.15
2019-02,3.01
2019-03,3.21
2019-04,3.25
2019-05,3.31
2019-06,3.43
2019-07,3.79
2019-08,3.75
2019-09,3.82
2019-10,3.86
2019-11,3.84
2019-12,3.8
2020-01,3.62
2020-02,3.72
2020-03,3.86
2020-04,3.51
2020-05,2.85
2020-06,2.19
2020-07,1.97
2020-08,1.88
2020-09,1.97
2020-10,1.75
2020-11,1.49
2020-12,1.61
2021-01,1.6
2021-02,1.56
2021-03,1.51
2021-04,1.95
2021-05,3.3
2021-06,3.63
2021-07,3.97
2021-08,4.44
2021-09,4.51
2021-10,4.58
2021-11,5.26
2021-12,5.62
2022-01,6.94
2022-02,8.01
2022-03,8.53
2022-04,9.23
2022-05,9.07
2022-06,9.67
2022-07,10.21
2022-08,10.84
2022-09,11.44
2022-10,12.22
2022-11,12.53
2022-12,13.12
2023-01,13.25
2023-02,13.28
2023-03,13.34
2023-04,12.82
2023-05,12.36
2023-06,12.13
2023-07,11.78
2023-08,11.43
2023-09,10.99
2023-10,10.48
2023-11,10.15
2023-12,9.28
2024-01,8.35
2024-02,7.74
2024-03,7.36
2024-04,7.16
2024-05,7.16
2024-06,7.18
2024-07,6.86
2024-08,6.12
2024-09,5.81
2024-10,5.41
2024-11,5.2
2024-12,5.2
2025-01,5.22
2025-02,5.28
2025-03,5.09
2025-04,5.16
2025-05,5.05
2025-06,4.82
2025-07,4.9
2025-08,5.1
2025-09,5.18
2025-10,5.51
2025-11,5.3
2025-12,5.1
2026-01,5.35
2026-02,5.29
2026-03,5.56
