fecha,tpm
2015-01,
2015-02,
2015-03,
2015-04,
2015-05,
2015-06,
2015-07,
2015-08,
2015-09,
2015-10,
2015-11,
2015-12,
2016-01,
2016-02,6.0
2016-03,6.0
2016-04,6.0
2016-05,6.9677
2016-06,7.0
2016-07,7.0
2016-08,7.0
2016-09,7.0
2016-10,7.0
2016-11,7.0
2016-12,7.0
2017-01,7.0
2017-02,7.0
2017-03,7.0
2017-04,7.0
2017-05,7.0
2017-06,7.0
2017-07,7.0
2017-08,7.0
2017-09,7.0
2017-10,6.871
2017-11,5.0
2017-12,5.0
2018-01,5.0
2018-02,5.0
2018-03,5.0
2018-04,5.0
2018-05,5.0
2018-06,5.0
2018-07,5.0
2018-08,5.0
2018-09,5.0
2018-10,5.0
2018-11,5.0
2018-12,5.0
2019-01,5.0
2019-02,5.0
2019-03,5.0
2019-04,5.0
2019-05,5.0
2019-06,5.0
2019-07,5.0
2019-08,5.0
2019-09,5.0
2019-10,5.0
2019-11,5.0
2019-12,5.0
2020-01,5.0
2020-02,5.0
2020-03,5.0
2020-04,5.0
2020-05,5.0
2020-06,5.0
2020-07,5.0
2020-08,5.0
2020-09,2.0
2020-10,2.0
2020-11,2.0
2020-12,2.0
2021-01,2.0
2021-02,2.0
2021-03,2.0
2021-04,2.0
2021-05,2.0
2021-06,2.0
2021-07,2.0
2021-08,2.0
2021-09,2.0
2021-10,2.0
2021-11,2.0
2021-12,2.3871
2022-01,3.0323
2022-02,4.0
2022-03,4.0
2022-04,5.0
2022-05,5.9677
2022-06,6.0
2022-07,6.0
2022-08,9.0
2022-09,9.0333
2022-10,10.0323
2022-11,11.0
2022-12,11.4194
2023-01,12.0
2023-02,12.0
2023-03,12.0323
2023-04,13.0
2023-05,13.0
2023-06,13.0
2023-07,13.0
2023-08,13.0
2023-09,13.0
2023-10,13.0
2023-11,13.0
2023-12,13.0
2024-01,13.0
